# 
# simt, lat, lon
106.00000000,51.76352683,5.64389805
106.50000000,51.76421099,5.64310396
107.00000000,51.76489515,5.64230985
107.50000000,51.76557930,5.64151571
108.00000000,51.76626344,5.64072155
108.50000000,51.76694758,5.63992736
109.00000000,51.76763171,5.63913315
109.50000000,51.76831584,5.63833892
110.00000000,51.76899996,5.63754466
110.50000000,51.76968408,5.63675038
111.00000000,51.77036819,5.63595607
111.50000000,51.77105230,5.63516174
112.00000000,51.77173640,5.63436738
112.50000000,51.77242050,5.63357301
113.00000000,51.77310459,5.63277860
113.50000000,51.77378868,5.63198418
114.00000000,51.77447276,5.63118973
114.50000000,51.77515683,5.63039525
115.00000000,51.77584090,5.62960075
115.50000000,51.77652496,5.62880623
116.00000000,51.77720902,5.62801168
116.50000000,51.77789308,5.62721711
117.00000000,51.77857713,5.62642251
117.50000000,51.77926117,5.62562789
118.00000000,51.77994521,5.62483325
118.50000000,51.78062924,5.62403858
119.00000000,51.78131326,5.62324389
119.50000000,51.78199729,5.62244918
120.00000000,51.78268130,5.62165443
120.50000000,51.78336531,5.62085967
121.00000000,51.78404932,5.62006488
121.50000000,51.78473332,5.61927007
122.00000000,51.78541731,5.61847523
122.50000000,51.78610130,5.61768037
123.00000000,51.78678528,5.61688549
123.50000000,51.78746926,5.61609058
124.00000000,51.78815324,5.61529565
124.50000000,51.78883720,5.61450069
125.00000000,51.78952117,5.61370571
125.50000000,51.79020512,5.61291070
126.00000000,51.79088908,5.61211567
126.50000000,51.79157302,5.61132062
127.00000000,51.79225696,5.61052554
127.50000000,51.79294090,5.60973044
128.00000000,51.79362483,5.60893532
128.50000000,51.79430875,5.60814017
129.00000000,51.79499267,5.60734499
129.50000000,51.79567659,5.60654979
130.00000000,51.79636050,5.60575457
130.50000000,51.79704440,5.60495932
131.00000000,51.79772830,5.60416405
131.50000000,51.79841219,5.60336876
132.00000000,51.79909608,5.60257344
132.50000000,51.79977996,5.60177810
133.00000000,51.80046384,5.60098273
133.50000000,51.80114771,5.60018734
134.00000000,51.80183157,5.59939192
134.50000000,51.80251543,5.59859648
135.00000000,51.80319929,5.59780102
135.50000000,51.80388314,5.59700553
136.00000000,51.80456698,5.59621002
136.50000000,51.80525082,5.59541449
137.00000000,51.80593465,5.59461893
137.50000000,51.80661848,5.59382334
138.00000000,51.80730231,5.59302773
138.50000000,51.80798612,5.59223210
139.00000000,51.80866994,5.59143644
139.50000000,51.80935374,5.59064076
140.00000000,51.81003754,5.58984506
140.50000000,51.81072134,5.58904933
141.00000000,51.81140513,5.58825358
141.50000000,51.81208892,5.58745780
142.00000000,51.81277270,5.58666200
142.50000000,51.81345647,5.58586617
143.00000000,51.81414024,5.58507032
143.50000000,51.81482400,5.58427445
144.00000000,51.81550776,5.58347855
144.50000000,51.81619151,5.58268263
145.00000000,51.81687526,5.58188668
145.50000000,51.81755900,5.58109071
146.00000000,51.81824274,5.58029471
146.50000000,51.81892647,5.57949870
147.00000000,51.81961020,5.57870265
147.50000000,51.82029392,5.57790659
148.00000000,51.82097764,5.57711049
148.50000000,51.82166135,5.57631438
149.00000000,51.82234505,5.57551824
149.50000000,51.82302875,5.57472207
150.00000000,51.82371244,5.57392589
150.50000000,51.82439613,5.57312967
151.00000000,51.82507981,5.57233344
151.50000000,51.82576349,5.57153718
152.00000000,51.82644716,5.57074089
152.50000000,51.82713083,5.56994458
153.00000000,51.82781449,5.56914825
153.50000000,51.82849815,5.56835189
154.00000000,51.82918180,5.56755551
154.50000000,51.82986545,5.56675911
155.00000000,51.83054909,5.56596268
155.50000000,51.83123272,5.56516622
156.00000000,51.83191635,5.56436974
156.50000000,51.83259997,5.56357324
157.00000000,51.83328359,5.56277672
157.50000000,51.83396721,5.56198016
158.00000000,51.83465081,5.56118359
158.50000000,51.83533442,5.56038699
159.00000000,51.83601801,5.55959037
159.50000000,51.83670161,5.55879372
160.00000000,51.83738519,5.55799705
160.50000000,51.83806877,5.55720035
161.00000000,51.83875235,5.55640363
161.50000000,51.83943592,5.55560689
162.00000000,51.84011948,5.55481012
162.50000000,51.84080304,5.55401333
163.00000000,51.84148660,5.55321651
163.50000000,51.84217015,5.55241967
164.00000000,51.84285369,5.55162280
164.50000000,51.84353723,5.55082591
165.00000000,51.84422076,5.55002900
165.50000000,51.84490429,5.54923206
166.00000000,51.84558781,5.54843510
166.50000000,51.84627132,5.54763811
167.00000000,51.84695484,5.54684110
167.50000000,51.84763834,5.54604407
168.00000000,51.84832184,5.54524701
168.50000000,51.84900534,5.54444993
169.00000000,51.84968883,5.54365282
169.50000000,51.85037231,5.54285569
170.00000000,51.85105579,5.54205853
170.50000000,51.85173926,5.54126135
171.00000000,51.85242273,5.54046415
171.50000000,51.85310619,5.53966692
172.00000000,51.85378965,5.53886967
172.50000000,51.85447310,5.53807239
173.00000000,51.85515655,5.53727509
173.50000000,51.85583999,5.53647776
174.00000000,51.85652342,5.53568041
174.50000000,51.85720685,5.53488304
175.00000000,51.85789028,5.53408564
175.50000000,51.85857370,5.53328822
176.00000000,51.85925711,5.53249077
176.50000000,51.85994052,5.53169330
177.00000000,51.86062392,5.53089581
177.50000000,51.86130732,5.53009829
178.00000000,51.86199071,5.52930075
178.50000000,51.86267410,5.52850318
179.00000000,51.86335748,5.52770559
179.50000000,51.86404086,5.52690797
180.00000000,51.86472423,5.52611033
180.50000000,51.86540759,5.52531267
